SYMBOL,Security Name
SANDUMA,SANDUR MANGANESE & IRON ORES LTD.
STOVACQ,STOVEC INDUSTRIES LTD.
TATAYODOGA,TAYO ROLLS LTD.-$
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd
ZWELCAST,WELCAST STEELS LTD.
WMINIMT,WESTERN MINISTIL LTD.
AUTOAXLES,AUTOMOTIVE AXLES LTD.
AUTOPRD,AUTOMOBILE PRODUCTS OF INDIA LTD.
ACGL,AUTOMOBILE CORPORATION OF GOA LTD.-$
SETCO,SETCO AUTOMOTIVE LTD.
INRADIA,INDIA RADIATORS LTD.
TALBROAUTO,TALBROS AUTOMOTIVE COMPONENTS LTD.
ZFSTEERING,Z.F.STEERING GEAR (INDIA) LTD.-$
SMLISUZU,SML ISUZU LIMITED
TIL,TIL LTD.
EICHERMOT,EICHER MOTORS LTD.
JAINEX,JAINEX AAMCOL LTD.
ALFREDHE,ALFRED HERBERT (INDIA) LTD.
VELJAN,Veljan Denison Limited
DYNAMATECH,DYNAMATIC TECHNOLOGIES LTD.-$
GGDPROP,G. G. Dandekar Properties Ltd
GMMPFAUDLR,GMM PFAUDLER LTD.
KIRLPNU,KIRLOSKAR PNEUMATIC CO.LTD.
TULIVE,Tulive Developers Limited
KPT,KPT Industries Ltd
LXMIATO,LAKSHMI AUTOMATIC LOOM WORKS LTD.
MANUGRAPH,MANUGRAPH INDIA LTD.-$
HARSHILAGR,Harshil Agrotech Ltd
MONOT,MONOTYPE INDIA LTD.
NESCO,NESCO LTD.
INTEGRAEN,INTEGRA ENGINEERING INDIA LTD.
SEMAC,Semac Consultants Ltd-$
TEXINFRA,TEXMACO INFRASTRUCTURE & HOLDINGS LTD.
WENDT,WENDT (INDIA) LTD.
PSITINFRA,PS IT Infrastructure & Services Limited
SINDUVA,SINDU VALLEY TECHNOLOGIES LTD.
RESPONIND,RESPONSIVE INDUSTRIES LTD.
SHYMINV,SHYAMKAMAL INVESTMENTS LTD.
ZHEMHOLD,HEM HOLDINGS & TRADING LTD.
MAHACORP,MAHARASHTRA CORPORATION LTD.
DOLATALGO,Dolat Algotech Ltd
WESTLIFE,Westlife Foodworld Ltd
ZEEL,ZEE ENTERTAINMENT ENTERPRISES LTD.
ZKOVALIN,KOVALAM INVESTMENT & TRADING CO.LTD.
SVPGLOB,SVP Global Textiles Ltd
MULTIIN,MULTIPLUS HOLDINGS LTD.
SKYLMILAR,SKYLINE MILLARS LTD.
BIMETAL,BIMETAL BEARINGS LTD.-$
TAPARIA,TAPARIA TOOLS LTD.
BHARATGEAR,BHARAT GEARS LTD.
BRADYM,BRADY & MORRIS ENGINEERING CO.LTD.
LATIMMETAL,La Tim Metal & Industries Ltd
ELECON,ELECON ENGINEERING CO.LTD.
GRAUWEIL,GRAUER & WEIL (INDIA) LTD.-$
HIMTEK,Him Teknoforge Ltd
GABRIEL,GABRIEL INDIA LTD.-$
HERCULES,HERCULES HOISTS LTD.
AQFINTECH,Algoquant Fintech Ltd
IFBIND,IFB INDUSTRIES LTD.
SINGER,SINGER INDIA LTD.
INTLCOMBQ,INTERNATIONAL COMBUSTION (INDIA) LTD.
FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) LTD.
JOSTS,JOST'S ENGINEERING CO.LTD.
SCHAEFFLER,Schaeffler India Ltd
RANEHOLDIN,RANE HOLDINGS LTD.
ROLCOEN,ROLCON ENGINEERING CO.LTD.
SNL,SNL BEARINGS LTD.
JAIPAN,JAIPAN INDUSTRIES LTD.
MANCREDIT,MANGAL CREDIT AND FINCORP LTD.
TRF,TRF LTD.-$
WPIL,WPIL LTD.
KENNAMET,KENNAMETAL INDIA LTD.-$
HINDHARD,Hindustan Hardy Ltd
TRITONV,TRITON VALVES LTD.
SUDAI,SUDAL INDUSTRIES LTD.
PRAKASH,PRAKASH INDUSTRIES LTD.
HVL,Hariyana Ventures Ltd
ZPRBHSTE,PRABHU STEEL INDUSTRIES LTD.
ARSHIYA,Arshiya Limited
GRINDWELL,GRINDWELL NORTON LTD.-$
STANROS,STANROSE MAFATLAL INVESTMENTS AND FINANCE LTD.
GENESYS,GENESYS INTERNATIONAL CORPORATION LTD.
ALNATRD,ALNA TRADING & EXPORTS LTD.
VOLKAI,Kairosoft AI Solutions Ltd
PARNAXLAB,PARNAX LAB LTD.
GOURMET,Gourmet Gateway India Ltd
VIVIDHA,VISAGAR POLYTEX LTD.
ISHWATR,ISHWARSHAKTI HOLDINGS & TRADERS LTD.
TERRAFORM,TERRAFORM MAGNUM LTD.
APIS,APIS INDIA LTD.
VELOXIND,Velox Industries Ltd
EMERGENT,Emergent Industrial Solutions Ltd
KANANIIND,KANANI INDUSTRIES LTD.
GCKL,Galaxy Cloud Kitchens Ltd-$
ZSARVAMA,SARVAMANGAL MERCANTILE CO.LTD.
ARIHANTSUP,Arihant Superstructures Limited
VIKSHEN,VIKSIT ENGINEERING LTD.
BLISSGVS,BLISS GVS PHARMA LTD.
STYRENIX,Styrenix Performance Materials Ltd
ALEMBICLTD,ALEMBIC LTD.
AMNPLST,AMINES & PLASTICIZERS LTD.
ANUHPHR,ANUH PHARMA LTD.
MODISONLTD,Modison Ltd-$
BAYERCROP,BAYER CROPSCIENCE LTD.
CHEMOPH,CHEMO PHARMA LABORATORIES LTD.
HEUBACHIND,Heubach Colorants India Ltd
COROMANDEL,COROMANDEL INTERNATIONAL LTD.
DEEPAKNTR,DEEPAK NITRITE LTD.-$
DMCC,DMCC Speciality Chemicals Ltd
FERMENTA,Fermenta Biotech Ltd
GOCLCORP,GOCL Corporation Ltd-$
JAYCH,JAYSHREE CHEMICALS LTD.
KANORICHEM,KANORIA CHEMICALS & INDUSTRIES LTD.
KELENRG,KELTECH ENERGIES LTD.
KEMP,KEMP & COMPANY LTD.
NITTAGELA,NITTA GELATIN INDIA LTD.-$
MPAGI,M.P.AGRO INDUSTRIES LTD.
OCCL,ORIENTAL CARBON & CHEMICALS LTD.-$
PCBL,PCBL Ltd
AMAL,AMAL LTD.
POLYCHEM,POLYCHEM LTD.
PUNJABCHEM,PUNJAB CHEMICALS AND CROP PROTECTION LTD.-$
GUJCMDS,GUJCHEM DISTILLERS INDIA LTD.
SADHNANIQ,SADHANA NITROCHEM LTD.
SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LTD.
TECILCHEM,TECIL CHEMICALS & HYDRO POWER LTD.
ULTRAMAR,ULTRAMARINE & PIGMENTS LTD.-$
TRANSPEK,TRANSPEK INDUSTRY LTD.-$
UNICHEMLAB,UNICHEM LABORATORIES LTD.
MYSORPETRO,MYSORE PETRO CHEMICALS LTD.-$
ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.-$
TUTIALKA,Tuticorin Alkali Chemicals And Fertilizers Ltd
ASTRAZEN,ASTRAZENECA PHARMA INDIA LTD.
PRIMO,Primo Chemicals Ltd
TANFACIND,TANFAC INDUSTRIES LTD.-$
GUJPETR,GUJARAT PETROSYNTHESE LTD.
GUJTHEM,GUJARAT THEMIS BIOSYN LTD.
SCBL,Saptak Chem And Business Ltd
MAKERSL,MAKERS LABORATORIES LTD.-$
CONTCHM,CONTINENTAL CHEMICALS LTD.
JBCHEPHARM,J.B.CHEMICALS & PHARMACEUTICALS LTD.
IGLFXPL-B,INDO GULF INDUSTRIES LTD.
APTPACK,APT PACKAGING LTD.
BLUECHIPT,BLUE CHIP TEX INDUSTRIES LTD.
JAGAJITIND,JAGATJIT INDUSTRIES LTD.
KESARENT,KESAR ENTERPRISES LTD.-$
TI,TILAKNAGAR INDUSTRIES LTD.-$
EMERALL,Emerald Leisures Ltd
